country,year,Fd1y,B1_R_B,B2_R_B,B3_R_B,B4_R_B,B6_R_B,B7_R_B,B8_R_B,L0g0y
36,1934,0.057135411,0,0,0,0,0,0,0,0.051589109
36,1935,0.044152942,0,0,0,0,0,0,0,0.057135411
36,1952,0.030716132,0,0,1,0,0,0,0,0.009005904
36,1953,0.060312178,0,0,0,0,0,0,0,0.030716132
36,1954,0.053181477,0,0,0,0,0,0,0,0.060312178
36,1955,0.033837095,0,0,0,1,0,0,0,0.053181477
36,1956,0.019832255,0,0,0,0,0,0,0,0.033837095
36,1957,0.046911366,0,0,0,0,0,0,0,0.019832255
36,1958,0.059745207,0,0,0,0,0,0,0,0.046911366
36,1959,0.041057073,0,0,0,0,1,0,0,0.059745207
36,1960,0.024749652,0,0,1,0,0,0,0,0.041057073
36,1961,0.013266649,0,0,0,0,0,0,0,0.024749652
36,1962,0.062129714,0,0,0,0,1,0,0,0.013266649
36,1963,0.069754899,0,0,0,0,1,0,0,0.062129714
36,1964,0.059784938,0,0,0,1,0,0,0,0.069754899
36,1965,0.023646062,0,0,1,0,0,0,0,0.059784938
36,1966,0.062977865,0,0,0,1,0,0,0,0.023646062
36,1967,0.050915875,0,0,0,0,0,1,0,0.062977865
36,1968,0.070506573,0,0,0,0,1,0,0,0.050915875
36,1969,0.071673453,0,0,0,1,0,0,0,0.070506573
36,1970,0.040033083,0,0,1,0,0,0,0,0.071673453
36,1971,0.039117821,0,0,0,0,0,0,0,0.040033083
36,1972,0.025993127,0,0,0,0,0,0,1,0.039117821
36,1973,0.040967688,0,0,1,0,0,0,0,0.025993127
36,1974,0.013328628,0,1,0,0,0,0,0,0.040967688
36,1975,0.025909519,0,0,0,0,0,0,1,0.013328628
36,1976,0.036076743,0,0,1,0,0,0,0,0.025909519
36,1977,0.008982334,0,0,0,1,0,0,0,0.036076743
36,1978,0.040559646,0,0,0,0,0,0,0,0.008982334
36,1979,0.030524168,0,0,0,0,0,0,0,0.040559646
36,1980,0.03356421,0,0,0,0,0,0,0,0.030524168
36,1981,0.033194222,0,0,0,0,0,1,0,0.03356421
36,1982,-0.022309601,0,0,1,0,0,0,0,0.033194222
36,1983,0.046307661,0,0,0,0,0,0,1,-0.022309601
36,1984,0.052493505,0,0,0,0,0,0,0,0.046307661
36,1985,0.041002035,0,0,0,0,1,0,0,0.052493505
36,1986,0.025784425,0,0,0,0,0,0,0,0.041002035
36,1987,0.05776852,0,0,0,1,0,0,0,0.025784425
36,1988,0.038808197,0,0,0,0,0,0,1,0.05776852
36,1989,0.035308015,0,0,0,0,0,0,0,0.038808197
36,1990,-0.00375333,0,0,1,0,0,0,0,0.035308015
36,1991,0.004364639,0,0,0,0,0,1,0,-0.00375333
36,1992,0.04061994,0,0,1,0,0,0,0,0.004364639
36,1993,0.040516108,0,0,0,0,0,0,1,0.04061994
36,1994,0.038893323,0,0,0,1,0,0,0,0.040516108
36,1995,0.039488073,0,0,0,0,0,1,0,0.038893323
36,1996,0.039476153,0,0,0,0,1,0,0,0.039488073
36,1997,0.044401396,0,0,0,0,0,1,0,0.039476153
36,1998,0.050068069,0,0,0,0,1,0,0,0.044401396
36,1999,0.038678691,0,0,0,0,0,0,0,0.050068069
36,2000,0.019300543,0,0,0,0,1,0,0,0.038678691
36,2001,0.038529269,0,0,0,0,0,0,0,0.019300543
36,2002,0.030683048,0,0,0,1,0,0,0,0.038529269
36,2003,0.041456714,0,0,0,0,0,0,0,0.030683048
36,2004,0.032035481,0,0,0,0,0,0,0,0.041456714
36,2005,0.029780542,0,0,0,0,1,0,0,0.032035481
36,2006,0.037497275,0,0,0,0,1,0,0,0.029780542
36,2007,0.036981408,0,0,0,0,0,0,0,0.037497275
36,2008,0.018119572,0,1,0,0,0,0,0,0.036981408
36,2009,0.020058796,0,0,0,0,0,0,1,0.018119572
36,2010,0.023728207,0,0,0,1,0,0,0,0.020058796
36,2011,0.036342498,0,0,0,1,0,0,0,0.023728207
36,2012,0.025698561,0,0,0,0,1,0,0,0.036342498
36,2013,0.026094574,0,0,0,0,1,0,0,0.025698561
40,1928,0.014376389,0,0,0,0,0,0,0,0.045415565
40,1929,-0.027981477,0,0,0,1,0,0,0,0.014376389
40,1930,-0.083637789,0,0,0,1,0,0,0,-0.027981477
40,1931,-0.10891075,1,0,0,0,0,0,0,-0.083637789
40,1932,-0.033777367,0,0,0,1,0,0,0,-0.10891075
40,1933,0.008549309,0,1,0,0,0,0,0,-0.033777367
40,1963,0.061243538,0,0,0,1,0,0,0,0.041382674
40,1964,0.034801751,0,0,0,1,0,0,0,0.061243538
40,1965,0.056428615,0,0,0,1,0,0,0,0.034801751
40,1966,0.030080479,0,0,0,1,0,0,0,0.056428615
40,1967,0.044723131,0,0,0,1,0,0,0,0.030080479
40,1968,0.062758669,0,0,0,0,0,0,0,0.044723131
40,1969,0.055460285,0,0,0,0,0,0,0,0.062758669
40,1970,0.051149689,0,0,0,0,0,0,0,0.055460285
40,1971,0.06207861,0,0,0,1,0,0,0,0.051149689
40,1972,0.048904352,0,0,0,0,1,0,0,0.06207861
40,1973,0.039421383,0,0,0,0,0,0,0,0.048904352
40,1974,-0.003637357,0,0,0,1,0,0,0,0.039421383
40,1975,0.045784455,0,0,0,1,0,0,0,-0.003637357
40,1976,0.050799809,0,0,0,1,0,0,0,0.045784455
40,1977,-0.002106535,0,0,0,1,0,0,0,0.050799809
40,1978,0.053567,0,0,0,0,0,0,0,-0.002106535
40,1979,0.017314853,0,0,0,0,0,0,0,0.053567
40,1980,-0.001442945,0,0,0,1,0,0,0,0.017314853
40,1981,0.020112542,0,0,0,1,0,0,0,-0.001442945
40,1982,0.029730881,0,0,0,1,0,0,0,0.020112542
40,1983,0.000512753,0,0,0,1,0,0,0,0.029730881
40,1984,0.024986785,0,0,0,1,0,0,0,0.000512753
40,1985,0.023013927,0,0,0,1,0,0,0,0.024986785
40,1986,0.01357168,0,0,0,0,0,0,0,0.023013927
40,1987,0.032958802,0,0,0,1,0,0,0,0.01357168
40,1988,0.038870748,0,0,0,0,0,0,0,0.032958802
40,1989,0.043456417,0,0,0,0,0,0,1,0.038870748
40,1990,0.034416273,0,0,0,0,0,0,0,0.043456417
40,1991,0.020935247,0,0,1,0,0,0,0,0.034416273
40,1992,0.005268095,0,0,0,1,0,0,0,0.020935247
40,1993,0.024021186,0,0,0,0,0,1,0,0.005268095
40,1994,0.026679838,0,0,1,0,0,0,0,0.024021186
40,1995,0.023983143,0,0,0,1,0,0,0,0.026679838
40,1996,0.022050196,0,0,0,0,0,0,0,0.023983143
40,1997,0.035599668,0,0,0,0,0,0,0,0.022050196
40,1998,0.035899878,0,0,0,0,1,0,0,0.035599668
40,1999,0.033684079,0,0,0,0,0,0,0,0.035899878
40,2000,0.013505161,0,0,0,0,0,0,0,0.033684079
40,2001,0.01655855,0,0,0,0,0,0,0,0.013505161
40,2002,0.007561566,0,0,0,0,0,0,0,0.01655855
40,2003,0.027057432,0,0,0,0,0,0,1,0.007561566
40,2004,0.021406827,0,0,0,0,0,0,1,0.027057432
40,2005,0.033508312,0,0,0,0,1,0,0,0.021406827
40,2006,0.036215104,0,0,0,0,0,1,0,0.033508312
40,2007,0.015472638,0,0,0,1,0,0,0,0.036215104
40,2008,-0.037990753,1,0,0,0,0,0,0,0.015472638
40,2009,0.019286729,0,0,0,0,0,0,1,-0.037990753
40,2010,0.028079998,0,0,0,0,1,0,0,0.019286729
40,2011,0.007457561,1,0,0,0,0,0,0,0.028079998
40,2012,0.001242235,0,0,0,0,0,0,1,0.007457561
40,2013,0.006448448,0,0,0,1,0,0,0,0.001242235
56,1889,0.02191011,0,0,0,0,0,0,0,0.046972249
56,1890,0.001546839,0,0,0,0,1,0,0,0.02191011
56,1891,0.024428695,0,0,0,0,0,0,0,0.001546839
56,1892,0.014970339,0,0,0,0,0,0,0,0.024428695
56,1893,0.014749529,0,0,0,0,0,0,0,0.014970339
56,1894,0.023155881,0,0,0,0,0,0,0,0.014749529
56,1895,0.01983059,0,0,0,0,0,0,0,0.023155881
56,1896,0.018068638,0,0,0,0,0,0,0,0.01983059
56,1897,0.016393811,0,0,0,0,0,0,0,0.018068638
56,1898,0.020121444,0,0,0,0,0,0,0,0.016393811
56,1899,0.0287978,0,0,0,0,0,0,0,0.020121444
56,1900,0.008991672,0,0,0,1,0,0,0,0.0287978
56,1901,0.020253858,0,0,0,1,0,0,0,0.008991672
56,1902,0.022305757,0,0,0,0,0,0,0,0.020253858
56,1903,0.025409678,0,0,0,0,0,0,0,0.022305757
56,1904,0.028270435,0,0,0,0,1,0,0,0.025409678
56,1905,0.020690395,0,0,0,0,0,0,0,0.028270435
56,1906,0.01468127,0,0,0,1,0,0,0,0.020690395
56,1907,0.010039159,0,0,0,1,0,0,0,0.01468127
56,1908,0.018692099,0,0,0,0,0,0,0,0.010039159
56,1909,0.025807884,0,0,0,0,0,0,0,0.018692099
56,1910,0.023086084,0,0,0,0,0,0,0,0.025807884
56,1924,0.0152675,0,0,0,1,0,0,0,0.032186773
56,1925,0.033307143,0,0,0,1,0,0,0,0.0152675
56,1926,0.036398407,0,0,0,0,0,0,0,0.033307143
56,1927,0.051043961,0,0,0,0,0,0,1,0.036398407
56,1928,-0.008726825,0,0,0,0,0,0,1,0.051043961
56,1929,-0.00960776,0,1,0,0,0,0,0,-0.008726825
56,1930,-0.017857566,1,0,0,0,0,0,0,-0.00960776
56,1931,-0.04609108,0,0,0,1,0,0,0,-0.017857566
56,1932,0.021214124,0,0,0,1,0,0,0,-0.04609108
56,1933,-0.008431805,0,1,0,0,0,0,0,0.021214124
56,1934,0.059977032,0,0,0,1,0,0,0,-0.008431805
56,1935,0.007151425,0,0,0,0,1,0,0,0.059977032
56,1950,0.055316109,0,0,0,0,0,0,0,0.053362973
56,1951,-0.007811989,0,0,0,0,1,0,0,0.055316109
56,1952,0.033863679,0,0,0,0,1,0,0,-0.007811989
56,1953,0.040492062,0,0,0,0,1,0,0,0.033863679
56,1954,0.047008086,0,0,0,0,1,0,0,0.040492062
56,1955,0.028558563,0,0,0,0,1,0,0,0.047008086
56,1956,0.019630844,0,0,0,1,0,0,0,0.028558563
56,1957,-0.002419898,0,0,0,1,0,0,0,0.019630844
56,1958,0.031003024,0,0,0,0,0,1,0,-0.002419898
56,1959,0.056071538,0,0,0,0,1,0,0,0.031003024
56,1960,0.049784232,0,0,0,1,0,0,0,0.056071538
56,1961,0.052120037,0,0,0,0,1,0,0,0.049784232
56,1962,0.043515846,0,0,0,0,0,0,0,0.052120037
56,1963,0.069566846,0,0,0,0,1,0,0,0.043515846
56,1964,0.0356066,0,0,0,0,0,0,0,0.069566846
56,1965,0.03155895,0,0,0,0,0,0,0,0.0356066
56,1966,0.03868147,0,0,1,0,0,0,0,0.03155895
56,1967,0.041941296,0,0,0,0,0,0,0,0.03868147
56,1968,0.066298001,0,0,0,0,0,0,0,0.041941296
56,1969,0.059569396,0,0,0,1,0,0,0,0.066298001
56,1970,0.03985827,0,0,0,1,0,0,0,0.059569396
56,1971,0.052956041,0,0,0,0,0,0,0,0.03985827
56,1972,0.063817017,0,0,0,0,1,0,0,0.052956041
56,1973,0.04565258,0,0,0,0,0,0,0,0.063817017
56,1974,-0.019659415,0,0,1,0,0,0,0,0.04565258
56,1975,0.056527458,0,0,0,1,0,0,0,-0.019659415
56,1976,0.006261549,0,0,1,0,0,0,0,0.056527458
56,1977,0.028418966,0,0,0,0,0,0,0,0.006261549
56,1978,0.02341073,0,0,0,0,1,0,0,0.028418966
56,1979,0.044440541,0,0,0,1,0,0,0,0.02341073
56,1980,-0.002792836,0,0,1,0,0,0,0,0.044440541
56,1981,0.005949869,0,0,0,0,0,0,0,-0.002792836
56,1982,0.003118428,0,0,0,0,0,0,0,0.005949869
56,1983,0.024663828,0,0,0,0,1,0,0,0.003118428
56,1984,0.01651793,0,0,0,0,0,0,0,0.024663828
56,1985,0.018227622,0,0,0,0,0,1,0,0.01651793
56,1986,0.023066595,0,0,0,0,0,1,0,0.018227622
56,1987,0.047232088,0,0,1,0,0,0,0,0.023066595
56,1988,0.034691669,0,0,0,0,0,1,0,0.047232088
56,1989,0.031374026,0,0,0,0,0,0,0,0.034691669
56,1990,0.018330744,0,0,1,0,0,0,0,0.031374026
56,1991,0.015306548,0,0,0,0,1,0,0,0.018330744
56,1992,-0.009618731,0,0,0,0,1,0,0,0.015306548
56,1993,0.032269713,0,0,0,0,0,1,0,-0.009618731
56,1994,0.023847573,0,0,0,1,0,0,0,0.032269713
56,1995,0.015935713,0,0,0,0,1,0,0,0.023847573
56,1996,0.037101969,0,0,0,0,1,0,0,0.015935713
56,1997,0.019755116,0,0,0,0,0,0,1,0.037101969
56,1998,0.035630938,0,0,0,0,0,0,0,0.019755116
56,1999,0.036338411,0,0,0,1,0,0,0,0.035630938
56,2000,0.008116441,0,0,0,1,0,0,0,0.036338411
56,2001,0.017802531,0,0,0,1,0,0,0,0.008116441
56,2002,0.007744982,0,0,1,0,0,0,0,0.017802531
56,2003,0.036347765,0,0,0,0,1,0,0,0.007744982
56,2004,0.020944851,0,0,0,0,0,0,1,0.036347765
56,2005,0.02499135,0,0,0,0,0,1,0,0.020944851
56,2006,0.033974931,0,0,0,0,1,0,0,0.02499135
56,2007,0.007472842,0,0,1,0,0,0,0,0.033974931
56,2008,-0.022851128,1,0,0,0,0,0,0,0.007472842
56,2009,0.026951447,0,0,0,0,0,0,1,-0.022851128
56,2010,0.0179663,0,0,1,0,0,0,0,0.026951447
56,2011,0.001370517,1,0,0,0,0,0,0,0.0179663
56,2012,-0.000623492,0,0,0,0,0,0,1,0.001370517
56,2013,0.016461834,0,0,0,0,0,0,1,-0.000623492
76,1910,0.10448766,0,0,0,0,1,0,0,0.011306209
76,1923,-0.000656944,0,0,0,1,0,0,0,0.05580724
76,1999,0.041125651,0,0,0,0,0,1,0,0.004690666
76,2000,0.013898672,0,0,0,0,1,0,0,0.041125651
76,2001,0.030533038,0,0,0,0,0,0,0,0.013898672
76,2002,0.011410071,0,0,1,0,0,0,0,0.030533038
76,2003,0.057598758,0,0,0,0,0,1,0,0.011410071
76,2004,0.032021355,0,0,0,0,0,1,0,0.057598758
76,2005,0.039619025,0,0,0,0,0,0,1,0.032021355
76,2006,0.060698729,0,0,0,0,0,1,0,0.039619025
76,2007,0.050943423,0,0,0,0,0,1,0,0.060698729
76,2008,-0.001258731,0,1,0,0,0,0,0,0.050943423
76,2009,0.075282238,0,0,0,0,0,0,1,-0.001258731
76,2010,0.039744254,0,0,0,0,0,0,0,0.075282238
76,2011,0.019211503,0,0,1,0,0,0,0,0.039744254
76,2012,0.030048653,0,0,0,1,0,0,0,0.019211503
76,2013,0.005039618,0,0,0,0,1,0,0,0.030048653
124,1874,-0.023754086,0,0,0,0,1,0,0,0.023754086
124,1875,-0.069679923,0,0,0,0,0,0,0,-0.023754086
124,1876,0.064860635,0,0,0,0,0,0,0,-0.069679923
