chn1080p_i,migrant1127,lnmig1127,mig1127_d,altermig,chgnorther,chgsouther,gdppc2000,lngdppc2000,lnavglight2000,lnlightpc2000,lnpopden2000,provgb,south,coast,dist_ports,x_coord,y_coord,dsongrivers,area,lnarea,lnwheat,lnrice,lnmaize,lnspotato,dist_HZ,shock,change,n_change,migperiod,premig,postmig,difmigperiod,migperiod_1,migperiod_2,difmigperiod_1,difmigperiod_2,songhh0741,lnsongp_ssden,lnsongp_ming1den,lnsongp_ming2den,lnsongp_ming3den,lnsongp_qing1den,lnsongp_qing2den,lnsongp_qing3den,hh1080,lnhh1080,lnhhden1080,songp1080,lnsongp0741,lnsongp1102,lnsongp1290,lnsongp1391,nsden,ssden,ming1den,ming2den,ming3den,qing1den,qing2den,qing3den,lnnsden,lnmingjinshiden,lnqingjinshiden,d_s_ming,d_n_ming,d_s_qing,d_n_qing,lntotacademy1,lnacademy3den,lnacademy4den,highratio2000,s_highratio2005,n_highratio2005,surdiv05_old,elf_mainlang,lnquota0,lnquota0sh,fuke,benchratio,n_non_ratio_40,sort_n_non_ratio_40,unsort_n_non_ratio_40,n_non_ratio_20,pref_surcorr,lnsongp1776,conflictden_ming,conflictden_qing
1,4,1.6094379,1,1.4436355,.37680036,-1.0668352,13.199046,2.5801446,2.5564883,-4.3623691,7.2207613,50,1,0,1264.5469,104.05614,30.60257,1,2653,7.8834462,1.178655,1.0229005,1.1293839,1.0340737,1.5460038,0,1,0,0,2,0,-.2962963,0,0,-.2962963,-.2962963,142537.4450073242,-8.9064751,-10.937586,-9.8357325,-9.3613377,-9.0593414,-8.801405,-7.9895616,169098,12.038234,4.1547875,.84548998,-.3387126,-.093816318,-4.1503806,-3.7624202,396.74011,698.18347,233.23224,429.73117,170.96399,16.205217,72.621002,57.821396,5.9863071,6.670785,5.3838663,1,1,1,1,.69314718,3.7440455,3.690547,22.398787,16.101694,26.436781,.96828842,0,3.6583924,4.5952959,,7.0579414,5.8577409,5,6.7226896,5.9259257,.25845715,-.93690342,0,5.0083451
2,2,1.0986123,1,-.37481099,-.35809776,.016713222,4.8443737,1.5778179,1.1019912,-4.9401584,6.3353353,50,1,0,1251.6515,103.71743,30.048897,1,2718,7.9076514,1.2729658,1.1808504,1.2729658,1.1541822,1.5825837,0,0,0,0,0,0,0,0,0,0,0,25248.041015625,-9.6967545,-10.927697,-10.102227,-9.6895332,-9.415246,-9.1780643,-8.3899565,76129,11.240185,3.3325329,.38064501,-2.0695689,-1.0104778,-4.1306067,-3.4115751,925.56268,3392.9739,307.3833,197.47617,5.9410238,13.547558,10.68697,9.7188244,6.833446,5.8581371,3.8353622,1,1,0,0,1.0986123,2.8877227,2.6567073,10.517026,11.904762,5.2631578,.95935905,0,3.3242745,4.6099629,,2.0649927,.59880245,0,1.3333334,2.6548672,.3509568,-1.2856883,8.9761896,7.1246467
3,0,0,0,0,.23039709,.23039709,10.44157,2.3457949,1.6782646,-4.4596987,6.4430866,50,1,0,1304.4447,103.60255,30.693632,1,1833,7.5137091,1.2083112,1.0691984,1.1411719,1.0986123,1.5888903,0,1,0,0,0,0,0,0,0,0,0,54644.34680175781,-9.2864208,-10.994684,-9.9304686,-9.4633093,-9.1644363,-8.9082994,-8.0863371,78927,11.276278,3.7625694,.39463499,-1.2974716,-1.0812391,-4.5196366,-4.1338158,5.2342362,35.320751,162.45689,78.466324,21.077625,5.2107649,8.0666399,10.637523,2.0606861,5.1893482,3.697175,1,0,1,0,0,2.4167595,2.4932022,10.316092,6.9767442,12.5,.95812702,0,3.2027493,4.6163716,,2.8953023,6.25,6.8965516,5.2631578,1.5625,.49231812,-1.4136225,0,0
4,4,1.6094379,1,.56226188,.46738264,-.094879247,8.6817455,2.1612227,1.341705,-4.6052852,6.2552743,50,1,0,1320.7209,103.79557,31.117613,1,2426,7.7939992,1.3217559,1.0745146,1.4127276,1.3499267,1.5691432,0,1,0,0,0,0,0,0,0,0,0,65759.92846679688,-9.6364994,-10.978277,-9.9026203,-9.4332275,-9.1333866,-8.8768291,-8.0718994,72417,11.190196,3.3961973,.36208501,-1.1123067,-1.2461151,-4.242908,-3.8534317,2.7882454,12.624599,0,74.131927,15.453578,0,11.812099,11.883191,1.7185597,4.6735711,3.7218874,0,0,0,0,0,2.1086216,3.6477792,12.827957,17.142857,19.047619,.96069336,.00016962762,3.4982941,4.5999918,,7.9861107,9.2024546,4.7619047,13.92405,3.7974682,.3879042,-1.1016973,0,2.9530246
5,7,2.0794415,1,-2.3124382,-2.7745407,-.46210235,4.4757295,1.4986694,.2432355,-5.0819607,5.6164227,50,1,0,1225.1304,103.48643,29.34866,1,11548,9.3542671,1.3479882,1.0494953,1.346289,1.3614792,1.61341,0,0,0,0,1,0,-.14814815,0,0,-.14814815,-.14814815,45671.208984375,-11.049789,-11.576569,-10.657213,-10.221175,-9.9361115,-9.6916428,-8.7624311,70546,11.164021,1.8097527,.35273001,-1.4768492,-1.0264963,-2.7518969,-2.701509,32.363503,321.51974,55.371273,99.363228,28.554483,12.525343,14.012654,7.7463431,3.5640428,5.1315866,3.8031116,1,1,1,0,1.0986123,3.6055303,1.4359879,12.614639,13.496933,2.5974026,.96921194,.0016062952,4.2716556,4.6248574,,4.0950427,3.1518624,2.3529413,3.9106145,4.2105265,.72795624,-.35320204,0,2.8025308
6,0,0,0,-2.9982228,-2.4585562,.53966671,8.7667913,2.1709709,.93653518,-4.8358464,6.0783396,50,1,0,1303.0269,103.39124,30.441927,1,3104,8.0404472,1.307157,1.0766333,1.2589549,1.1819938,1.6105734,0,0,0,0,0,0,0,0,0,0,0,42159.09765625,-9.7730293,-11.09053,-10.289859,-9.8838043,-9.6126499,-9.3724127,-8.4434071,80130,11.291406,3.2509587,.40064999,-1.5568669,-.92534411,-3.9892502,-3.4209402,20.994703,113.10474,105.5855,28.44648,37.9063,4.8172507,7.5769663,7.4812341,3.1620531,4.9574623,3.5291903,0,0,1,0,.69314718,2.9425592,2.71826,9.0231619,1.8181819,4.347826,.9592247,0,3.3817184,4.7339969,,5.4075789,5.7324843,6.666667,4.477612,4.166667,.25779438,-1.3522782,0,3.7884831
7,0,0,0,0,-1.8184465,-1.8184465,3.3952973,1.2223912,-1.1513319,-5.3133163,4.4469409,50,1,0,1283.1953,102.40935,28.781235,0,15523,9.6500778,1.5385635,.28636524,1.3582739,1.6313024,1.7265129,0,0,0,0,0,0,0,0,0,0,0,1887.014358520508,,-12.063255,-11.737788,-11.512603,-11.340172,-11.176753,-10.502691,2712,7.9054418,-1.7446364,.01356,-4.6633215,-4.2969503,,-2.5153658,0,,0,0,0,0,0,2.345768,4.3325419,2.0877097,2.2198224,0,0,0,0,0,2.0877097,3.3184347,6.8793674,2.7777777,4.5454545,.97759533,.48914081,2.6782351,4.2164316,,3.906086,5.147059,6.1728396,3.6363635,2.3622048,.021713963,-1.5381967,0,23.014238
8,0,0,0,0,.33168241,.33168241,5.5657482,1.7166314,-1.429669,-4.9159737,3.7857745,50,1,0,1377.6533,102.27785,30.248838,0,29074,10.277599,1.1278116,.46303511,1.3023087,1.4953978,1.7186692,0,0,0,0,0,0,0,0,0,0,0,10887.185546875,-13.126364,-11.964269,-12.09319,-12.226826,-12.370054,-12.529511,-11.757971,22987,10.042685,-.23491547,.114935,-2.9107308,-1.9854413,-4.0406966,-1.6565819,18.401163,69.065727,0,12.289405,21.069746,0,28.517672,4.394578,3.317879,3.6073499,3.8613496,1,0,1,0,0,1.8155903,4.4491363,13.466146,13.636364,12.962963,.95726502,.48837245,2.5665991,4.8328056,,6.7798042,5.185185,4.166667,6.3492069,7.865169,.38535747,-2.2662063,159.76227,199.6237
9,0,0,0,0,0,0,6.6838598,1.8996956,-1.3766006,-4.3447223,3.2801747,50,1,0,1372.2344,103.45223,31.485754,1,7965,8.9828119,.9864949,0,1.3710269,1.6711315,1.6016867,0,1,0,0,0,0,0,0,0,0,0,1117.38720703125,-12.893441,-11.648195,-11.673039,-11.696174,-11.718259,-11.730873,-11.151939,557,6.3225651,-2.6602471,.002785,-5.187324,-5.8639512,-3.4350407,-2.6592062,0,0,0,14.735024,0,0,15.612324,0,5.7846828,3.3833745,3.4412079,0,0,0,0,0,2.6902273,3.4412079,13.582548,5.5555553,5.8823528,.93462586,.046687953,2.3760026,5.1348491,,7.5943751,12.820514,15.000001,10.526316,3.846154,0,-2.7588465,44.205074,0
10,0,0,0,0,-.53815717,-.53815717,2.9236319,1.0728266,.27046561,-5.9221401,6.4984932,50,1,0,1212.0413,104.5605,30.384098,0,1769,7.4781699,1.3862944,1.0986123,1.3862944,1.0986123,1.4990478,0,1,0,0,0,0,0,0,0,0,0,27804.37451171875,-9.8914814,-10.986848,-9.9255238,-9.4589329,-9.1603069,-8.903842,-8.013979,40214,10.601971,3.1238008,.20107,-1.973124,-1.563318,-4.5454011,-4.1574688,25.685303,89.367188,33.404091,23.11544,0,5.3770351,12.481968,5.1264911,3.4282405,3.833648,3.5051143,0,0,0,0,0,2.4473536,2.5242851,8.3370962,11.904762,12.5,.95981121,0,3.1349349,4.5801177,,3.817169,6.060606,2.5641026,11.111112,7.6923079,.27443624,-1.4451827,0,0
12,0,0,0,-1.0850729,-.46515566,.61991721,2.5795176,.94760239,-.53972012,-6.5933652,6.3500857,50,1,0,1206.4171,104.17546,29.898453,0,3524,8.1673517,1.3647882,1.1196657,1.4177107,1.2738163,1.5401831,0,0,0,0,0,0,0,0,0,0,0,34734.4609375,-10.371961,-11.285748,-10.497153,-10.094408,-9.8248272,-9.5823793,-8.2068338,47328,10.764857,2.5975053,.23664001,-1.7505851,-1.8062743,-3.8667228,-3.4795201,286.78333,1323.738,135.66058,20.551792,130.51595,0,12.349798,10.402718,5.6737647,5.6620054,4.0540848,1,0,1,0,0,3.4284134,2.1081746,6.7580409,11.304348,9.090909,.96622127,0,3.0226068,4.4611554,,1.8278462,1.908397,1.5503876,2.2556391,2.6315789,.29505479,-1.4385482,20.551792,0
13,0,0,0,0,-.19965822,-.19965822,9.011097,2.1984568,.97397846,-4.4113326,5.7000442,50,1,0,1315.713,104.62201,31.790112,0,9008,9.1058683,1.2631617,.5630942,1.3190421,1.272315,1.4918605,0,1,0,0,1,0,-.14814815,0,0,-.14814815,-.14814815,65378.85403442383,-10.395592,-11.480904,-10.762998,-10.380691,-10.120997,-9.8946133,-9.0687256,123149,11.72115,2.6152818,.61574501,-1.1181184,-.48682427,-3.364553,-2.6831722,39.254326,112.58526,21.502777,83.907738,28.624533,0,6.6018991,6.7447696,3.7126212,4.9529662,3.1866403,1,0,1,0,0,1.6571292,3.2736518,16.422945,22.950819,12.5,.96429682,.0089200297,3.8393483,4.6418843,,8.9629622,9.9099102,11.538462,8.474577,5.0359712,.10339288,-.80253613,10.488467,6.6018991
14,78,4.3694477,1,2.8444014,2.8577154,.013314051,13.799881,2.62466,1.4108067,-4.2329702,5.9104595,35,1,1,188.25586,119.32478,26.494293,1,22894,10.03863,1.3506849,1.3524517,1.4475211,1.1431136,.42719224,0,0,0,1,0,0,1,0,1,0,1,25756.82000732422,-9.0161161,-10.191722,-9.6950645,-9.3906336,-9.1715298,-8.9809456,-8.8281889,211552,12.262226,2.2235959,1.05776,-2.0496178,.056153465,1.3859118,-.33034074,571.81592,808.94159,286.69614,209.22482,59.632545,50.000011,72.924339,124.59145,6.3506336,6.1410694,5.5610538,1,1,1,1,2.9957323,2.9522707,2.8135159,16.804539,18.771593,28.205128,.93492544,.00023339817,5.3540392,4.3014655,,1.2246355,1.1945393,.83056474,1.5789473,2.5547445,.92611963,1.0525739,7.0923667,5.5561404
15,7,2.0794415,1,2.4919019,1.7227989,-.76910305,5.7245436,1.7447629,-.36037019,-4.8445005,4.7582951,35,1,0,283.7551,118.47037,27.479532,0,17931,9.7942867,1.2440293,1.3862944,1.4484524,1.1779859,.35159239,0,0,0,0,1,0,-.14814815,0,0,-.14814815,-.14814815,12990.7080078125,-10.069868,-10.079524,-9.9356451,-9.8206873,-9.7241459,-9.6284924,-9.96667,186566,12.13654,2.3422539,.93282998,-2.7340829,-.017319126,-.45213228,-.32509875,959.4104,670.50391,86.455086,38.010635,25.668823,13.983939,15.249976,11.88134,6.8675542,4.9616399,3.6183958,1,1,1,0,3.2188759,1.9331179,2.0314307,11.619128,12.722647,17.391304,.96343762,.30497605,4.9412732,4.7800903,,1.4267254,1.6129031,1.2345679,2.0270269,1.5384616,.64307266,.16118267,2.3036749,2.5416627
16,28,3.3672957,1,2.8936057,4.1202893,1.2266836,17.738268,2.8757243,2.2764678,-3.9909415,6.5222478,35,1,1,45.40744,118.23572,25.143375,0,12558,9.4381132,1.2851982,1.265502,1.4100484,1.1687442,.60055619,0,0,0,0,0,4,0,0,0,0,0,18777.21044921875,-9.8266964,-9.822134,-9.2994232,-8.9845543,-8.7597256,-8.5630627,-8.4087248,201406,12.213078,2.7749648,1.00703,-2.3656733,.0070054149,-.80900705,-.57443303,376.88196,858.38593,73.408775,161.91264,222.37697,63.429298,34.597797,12.50289,5.934835,6.2363353,4.6221175,1,1,1,1,1.3862944,2.4262598,2.3030033,14.458347,16.751556,15.32258,.946069,0,4.9918714,4.1240721,,1.5878097,.63752276,.25062656,.85836911,2.4630542,.54856634,.86779916,6.0934868,5.4189324
17,3,1.3862944,1,3.3225369,2.5677767,-.75476038,10.729431,2.3729906,.48892412,-4.1652303,4.9182372,35,1,0,174.47054,117.80985,26.317583,1,18383,9.8191814,1.201438,1.3671244,1.4476633,1.1665732,.49643317,0,0,0,0,0,0,0,0,0,0,0,11632.12164306641,-10.491114,-10.317216,-10.149097,-10.017475,-9.9085245,-9.8019352,-10.028018,119561,11.691582,1.8724004,.59780502,-2.844547,-.5144906,-.8004539,-.54536873,398.45816,616.77509,21.391291,16.690218,13.412517,15.308378,11.794812,1.2322428,5.9922214,3.940834,3.3149576,1,1,1,0,1.3862944,2.8948655,2.8159664,17.630575,13.944954,40.909092,.95428097,.025886986,4.9187603,4.9065294,,1.3706512,1.6501651,1.3986014,1.8750001,1.4084507,.67643464,.012230744,13.908515,3.9316041
18,6,1.9459101,1,0,-.11697171,-.11697171,5.4007025,1.686529,-.11559372,-4.816843,4.9584794,35,1,0,212.61855,116.63464,25.587521,1,19138,9.8594313,1.3173746,1.3561308,1.6028589,1.2793387,.62595767,0,0,0,0,0,0,0,0,0,0,0,4744.31689453125,-11.09718,-10.846154,-10.343894,-10.037186,-9.8168249,-9.6222792,-9.7729912,81454,11.307794,1.4483626,.40727001,-3.74137,-.89827889,-1.5744811,-1.1667606,62.555988,134.4659,59.013477,25.972839,15.528913,14.374331,41.021324,17.426617,4.1786218,4.4357061,4.2287564,1,1,1,0,.69314718,2.6816871,2.8538907,12.200117,16.271187,12.5,.95997852,.012504397,5.0253682,4.7964206,,.50015318,.32258064,1.010101,0,1.2195121,.27375546,.22894748,4.8699074,9.4664593
19,5,1.7917595,1,.64490402,.56000674,-.084897302,11.557097,2.4472997,1.3505021,-3.9973454,5.5985408,35,1,1,127.55458,117.38457,24.664391,0,18079,9.8025064,1.2436304,1.2540609,1.3874302,1.1744503,.68091172,0,0,0,1,0,0,1,0,1,0,1,5050.237060546875,-11.105748,-10.246105,-9.530612,-9.1490374,-8.8897028,-8.6687202,-9.1272316,100469,11.517605,1.7150981,.50234503,-3.6788821,-.6884681,-2.2212355,-.75003928,183.18756,681.02411,71.682022,57.145126,95.723763,25.689423,16.090633,9.1622944,5.2224865,5.4516912,3.7565634,1,1,1,1,1.9459101,2.9061599,2.2674117,12.94226,11.90781,7.9545455,.93726379,.017406084,5.2336974,4.1085329,,1.9334567,1.8223236,1.396648,2.1153846,1.6427106,.60233039,1.1251642,2.285805,7.4016914
20,10,2.3978953,1,3.1797855,2.7278254,-.45196003,9.0122042,2.1985795,-.53015137,-4.7274995,4.466311,35,1,0,286.56561,117.22579,27.183983,0,8331,9.0277386,1.2778138,1.3721765,1.5596192,1.246065,.44776988,0,0,0,0,0,0,0,0,0,0,0,5988.8134765625,-10.024034,-10.317555,-10.037099,-9.8363419,-9.6795406,-9.5367956,-10.408859,87594,11.380467,2.3527291,.43797001,-3.508424,-.82560486,-1.1374519,-1.3751029,270.30887,238.32402,76.274513,27.438457,15.713393,17.270964,16.637217,23.87615,5.6088676,4.6729221,3.7671537,1,0,1,0,1.6094379,3.5743098,3.2171073,14.429156,15.625,40,.96792006,.49139503,4.2558513,4.7676229,,1.7151376,1.4705882,3.0769231,0,1.6393442,.51602489,-.5117715,0,9.9823303
21,7,2.0794415,1,2.9841335,3.0612202,.077086799,7.1072164,1.9611107,1.8642931,-4.4481916,6.5678749,35,1,1,65.268364,118.88025,25.458788,0,3863,8.2591991,1.450514,1.3066767,1.4311897,1.1644255,.54916173,0,0,0,0,0,0,0,0,0,0,0,6022.40869140625,-9.4213972,-9.2794514,-9.2002602,-9.1333342,-9.0746698,-9.0088139,-8.1778307,55237,10.919389,2.6601889,.27618501,-3.50283,-1.1526937,-1.0826553,-1.0412827,1866.1832,1783.8989,316.22391,743.18231,282.82257,81.368622,33.858944,10.140388,7.5337849,7.2006421,4.9084973,1,1,1,0,1.3862944,3.1382849,2.3590524,11.749512,13.583138,12.903226,.94256544,0,4.1157737,4.8739085,,2.4628668,2.6548672,4.2253518,1.9354839,2.1505377,.66171902,-.75813472,10.250791,2.116184
22,0,0,0,0,1.4436355,1.4436355,10.182292,2.3206501,1.5759629,-4.0457506,5.8555808,44,1,0,118.05879,112.37514,22.490919,0,3135,8.0503845,.99039865,1.0986123,1.132229,1.0986123,1.1621435,0,1,0,0,0,1,0,0,0,0,0,10980.18322753906,-10.840591,-10.731218,-10.257881,-9.9631233,-9.7494097,-9.5591068,-9.0262556,13647,9.5212746,1.4708905,.068235002,-2.9022253,-2.6852374,-2.8720996,-2.8467281,0,0,102.18079,0,0,5.4686151,22.604755,10.613912,2.7051795,4.2869377,3.9066176,0,0,0,0,0,2.9006436,3.8113074,12.894047,16.589861,0,.95827639,0,3.0163684,4.5336618,2,.87473458,.85836911,1.171875,.47619051,0,0,-1.5172933,18.185844,0
23,15,2.7725887,1,3.8574595,1.8565432,-2.0009165,29.907898,3.3981225,2.9481637,-3.1909428,6.3786459,44,1,1,35.176521,113.31297,23.184671,1,36041,10.492413,1.1815265,1.2056071,1.1663582,1.1186593,1.0413067,0,1,0,0,0,0,0,0,0,0,0,33414.72888183594,-10.711033,-10.190868,-9.580164,-9.2326937,-8.9905634,-8.7840681,-8.4295921,143261,11.872423,1.380011,.71630502,-1.7893206,-.33364919,-.14457376,.062578641,43.966057,130.65765,43.640854,93.979149,53.341934,17.14929,27.899479,42.576813,3.8173194,5.265696,4.6320148,1,1,1,1,2.3025851,2.9997749,3.4215541,24.748301,33.300716,31.266018,.96806055,.10744274,5.6740513,3.9711204,5,3.4773417,2.5998392,2.5069637,2.6859503,3.2841823,.38192946,1.7029312,8.8356466,6.521956
24,1,.69314718,1,2.4917798,1.5591965,-.93258345,7.1455135,1.9664847,.93328905,-4.024981,5.2102442,44,1,0,218.82249,113.54475,24.863213,1,11788,9.3748369,1.3297241,1.3728714,1.5713899,1.2660081,.88799828,0,0,0,0,0,0,0,0,0,0,0,22528.34765625,-11.030849,-11.596635,-10.73456,-10.312437,-10.033752,-9.8060045,-9.6555443,57438,10.958462,1.583624,.28718999,-2.183543,-1.2476113,-2.0972741,-2.6456394,92.878525,115.2442,55.343399,0,5.1076865,5.7980838,7.6952677,0,4.5705132,3.5569468,2.6283922,0,0,0,0,1.0986123,3.9987795,3.4756901,17.837408,17.42268,14.146341,.96674567,.076388523,4.0331998,4.4674468,0,3.1674042,.74515653,1.0416667,.52219319,3.057554,.16254576,-.43424669,0,1.5390534
25,0,0,0,.88137358,.88137358,0,2.5713201,.94441938,.38149872,-5.2940302,5.9216104,44,1,0,255.4671,115.55952,24.115562,1,8430,9.0395517,1.216735,1.1779491,1.3441335,1.1521965,.82230294,0,0,0,0,0,1,0,0,0,0,0,2304.574462890625,-11.316368,-11.508025,-10.354422,-9.8705921,-9.5645723,-9.3176966,-9.0108166,47192,10.76198,1.7224276,.23596001,-4.4634213,-1.444093,-4.7927051,-3.262274,0,0,11.804405,11.172793,2.2957053,10.142958,17.168802,.97167319,1.5474588,3.1066289,3.3226669,1,0,1,0,1.3862944,2.7011638,2.9861948,12.133302,12.007504,18.181818,.95913976,.00059661304,4.0773015,4.3609114,0,.36387575,.29218408,.28653297,.29806259,.60606056,.11977644,-.28360978,0,0
26,1,.69314718,1,1.0210392,.076904044,-.94413519,7.3176298,1.9902865,1.8707138,-4.4844785,6.5995231,44,1,1,257.09882,116.342,23.892632,0,20772,9.9413614,1.1899303,1.2291512,1.2923776,1.1389561,.80384219,0,1,0,0,0,0,0,0,0,0,0,4416.2158203125,-10.995883,-10.421964,-9.7445259,-9.3747921,-9.1213322,-8.9035635,-8.3363285,74682,11.220994,1.2796332,.37340999,-3.8130343,-.98507828,-1.1067251,-.76118153,109.74763,146.4007,56.596714,68.170036,20.996359,28.186808,42.508095,6.8300214,4.7248516,4.8530207,4.3512745,1,1,1,0,1.3862944,2.7476034,2.9511869,11.970603,14.196568,17.679558,.95421559,.49996835,5.3041139,4.2755389,0,.7640726,.64315814,.60352832,.67940551,.98461539,.43419752,1.0285748,1.6426514,3.542341
27,1,.69314718,1,-1.8184464,-1.0607151,.75773138,3.3159661,1.1987489,.10473348,-4.6886687,5.0439181,44,1,0,221.18935,112.45399,24.668625,0,8072,8.9961567,1.3224157,1.3484589,1.5051769,1.1930219,.98391521,0,1,0,0,0,0,0,0,0,0,0,31022.634765625,-11.236003,-10.344536,-10.291902,-10.246343,-10.205617,-10.159611,-9.7371807,36942,10.517104,1.5209478,.18471,-1.8636003,-1.6889411,-2.9732311,-1.3621207,22.01985,28.175667,3.8511789,3.6537161,10.47298,3.3516743,3.2009704,4.1961646,3.3150878,3.0875041,2.772892,0,0,0,0,0,1.2957448,3.5613494,10.653352,9.785203,20.869566,.96099955,.50744784,3.3052056,4.4741635,0,2.211262,1.7574692,.95602292,2.4390242,1.1204482,.069297045,-1.1689579,3.6537161,6.4019408
28,1,.69314718,1,0,0,0,4.8444834,1.5778407,-.14551091,-5.1523309,5.2559404,45,1,0,261.80423,111.51343,24.451029,0,8519,9.0500546,1.3404479,1.4256058,1.510347,1.2740972,1.0724138,0,0,0,0,0,0,0,0,0,0,0,4555.8974609375,-11.341353,-12.469081,-11.338354,-10.858624,-10.554346,-10.302961,-9.659646,40205,10.601747,1.5516924,.20102499,-3.7818949,-1.604326,-3.4906483,-4.1735702,0,0,30.539673,0,18.305141,0,3.5005054,12.877768,1.7003365,3.8977375,3.4501319,1,0,1,0,.69314718,3.3869119,2.8623452,9.0711622,,,,.025506578,3.9146535,5.1785798,0,0,,,,,0,-1.2639261,9.8581591,0
29,0,0,0,.88137358,.88137358,0,6.2095995,1.8260964,.24963146,-4.6407347,5.1357427,44,1,0,192.01277,111.70633,23.550802,1,2740,7.9157133,1.2104037,1.1093075,1.2199732,1.1093075,1.1236222,0,0,0,0,0,0,0,0,0,0,0,3904.575927734375,-12.35908,-10.741127,-10.285266,-9.9979715,-9.7884712,-9.6007948,-9.0513515,2739,7.9153481,-.00036503011,.013695,-3.9361682,-4.276226,-4.5673928,-2.9830515,0,0,0,0,0,0,5.39289,0,4.2477264,2.3695529,2.3782287,0,0,1,0,0,2.3695529,3.2945194,10.021081,10.4,0,.95211244,.0077552656,2.8894258,4.5834012,0,.14892024,0,0,0,1.1904762,0,-1.6939756,0,0
30,0,0,0,0,-.86880285,-.86880285,14.552886,2.6777894,1.8506912,-3.7109051,5.8006763,44,1,0,101.91993,112.55081,23.30138,1,8379,9.0334835,1.0763538,1.1801053,1.1295745,1.0923032,1.0827503,0,0,0,0,0,0,0,0,0,0,0,12837.43310546875,-10.933062,-10.707344,-10.178279,-9.8609209,-9.6347408,-9.4364452,-8.9359217,25103,10.130743,1.0972588,.125515,-2.7459519,-2.2949643,-1.7916194,-1.867563,58.733101,106.92915,117.31972,34.559784,22.874483,18.244101,13.466245,32.65366,4.2065349,4.9289851,4.4283133,1,0,1,0,1.3862944,4.0351672,3.9583097,16.058887,12.111801,12.5,.96266443,0,4.0349503,4.4458718,3,2.3493109,2.4443238,3.2634032,1.7293997,2.2315202,.33892065,-.41092131,9.425396,4.4887481
31,0,0,0,0,.93707287,.93707287,7.1974468,1.9737264,.8907997,-4.4653568,5.5939503,44,1,0,172.67699,111.75902,22.96117,1,8050,8.9934273,1.1267831,1.1236919,1.1779221,1.1080911,1.1658912,0,0,0,0,0,0,0,0,0,0,0,14073.12084960938,-11.879286,-10.729096,-10.250148,-9.9530344,-9.7379999,-9.5476198,-9.0587053,8979,9.102644,.10921643,.044895001,-2.6540506,-3.1034288,-2.7563217,-1.9042594,0,0,17.018164,3.5138798,2.6106703,4.2110829,5.2216034,1.0674561,3.0465055,3.0484803,2.5001025,0,0,0,0,0,2.8661587,2.1636302,10.797638,9.9728012,9.5238094,.95917201,0,3.7586319,4.3205523,2,.90691274,.91420531,.97629011,.85106379,1.0964912,.04677248,-.5619207,10.541639,0
32,0,0,0,0,.88137358,.88137358,5.8484802,1.7661818,1.1786036,-4.340457,5.7493057,44,1,1,185.50008,111.86397,22.077801,0,9513,9.1604147,.98082918,1.162082,1.2141769,1.1014572,1.2312309,0,0,0,0,0,1,0,0,0,0,0,20942.62915039063,-11.339835,-10.736421,-10.27359,-9.9832973,-9.7720985,-9.5834532,-9.0457993,27214,10.211487,1.0510722,.13607,-2.2565305,-1.9945859,-2.3344371,-1.7369111,0,0,0,9.1320286,4.5541096,3.6870656,7.6329646,6.2419658,2.0186658,2.9049351,3.1310885,0,0,1,0,.69314718,2.49947,2.2147977,11.692424,14.484272,21.212122,.96011031,.0049078153,4.114727,4.5464363,3,.50166911,.35211268,.13440861,.59171599,.79207921,0,-.43170926,9.1320286,0
33,1,.69314718,1,0,.1523409,.1523409,4.3098779,1.4609096,-.24652398,-5.0550137,5.0622082,44,1,0,249.99866,114.24007,25.024103,1,4432,8.3966064,1.3600919,1.4160206,1.6466672,1.3008492,.8258093,0,0,0,0,0,0,0,0,0,0,0,8441.994140625,-11.004666,-10.740019,-10.51937,-10.353854,-10.220745,-10.091814,-9.645484,20339,9.9202957,1.5236893,.101695,-3.1650989,-2.2857771,-2.9213672,-2.4077857,73.257408,257.8811,31.25017,16.708384,14.159627,12.394913,27.238888,0,4.4275107,4.2022052,3.7746494,1,0,1,0,0,3.9145229,3.3046458,12.26313,12.643678,14.285714,.95869917,.50035596,3.6996293,5.4023643,0,1.9655463,1.5243902,3.9215689,.44247788,2.7397261,.36257672,-1.7027348,8.3541918,5.4477777
34,0,0,0,0,-.56226188,-.56226188,3.3069925,1.1960392,.53826886,-4.3059626,5.0902271,44,1,0,148.07275,113.30949,24.221327,1,5823,8.6695709,1.2252635,1.232671,1.2215391,1.1399405,.95534939,0,0,0,0,0,0,0,0,0,0,0,5243.7041015625,-11.566522,-11.584236,-10.709083,-10.283694,-10.003502,-9.7747297,-9.6118774,8019,8.9895687,.31999815,.040095001,-3.6412892,-4.1933918,-2.7200859,-3.3506076,0,0,0,7.6868539,15.070452,0,0,5.1317873,3.2528896,3.6489496,2.2037714,0,0,0,0,.69314718,3.9854217,2.8969185,10.028931,4.8951049,15.384615,.96036947,.019584179,3.3621335,4.4704528,0,.74991727,1.2820513,1.3333334,1.25,0,.12566081,-1.1083192,0,6.0394092
