chn1080p_i,migrant1127,lnmig1127,mig1127_d,altermig,chgnorther,chgsouther,gdppc2000,lngdppc2000,lnavglight2000,lnlightpc2000,lnpopden2000,provgb,south,coast,dist_ports,x_coord,y_coord,dsongrivers,area,lnarea,lnwheat,lnrice,lnmaize,lnspotato,dist_HZ,shock,change,n_change,migperiod,premig,postmig,difmigperiod,migperiod_1,migperiod_2,difmigperiod_1,difmigperiod_2,songhh0741,lnsongp_ssden,lnsongp_ming1den,lnsongp_ming2den,lnsongp_ming3den,lnsongp_qing1den,lnsongp_qing2den,lnsongp_qing3den,hh1080,lnhh1080,lnhhden1080,songp1080,lnsongp0741,lnsongp1102,lnsongp1290,lnsongp1391,nsden,ssden,ming1den,ming2den,ming3den,qing1den,qing2den,qing3den,lnnsden,lnmingjinshiden,lnqingjinshiden,d_s_ming,d_n_ming,d_s_qing,d_n_qing,lntotacademy1,lnacademy3den,lnacademy4den,highratio2000,s_highratio2005,n_highratio2005,surdiv05_old,elf_mainlang,lnquota0,lnquota0sh,fuke,benchratio,n_non_ratio_40,sort_n_non_ratio_40,unsort_n_non_ratio_40,n_non_ratio_20,pref_surcorr,lnsongp1776,conflictden_ming,conflictden_qing
287,0,0,0,1.0749975,.8109014,-.26409611,3.5921504,1.278751,-.038667832,-6.0393767,6.3076334,50,1,0,1222.0765,105.12865,31.035681,0,7875,8.9714489,1.3654362,1.0955495,1.3724372,1.0986123,1.4422883,0,0,0,0,0,0,0,0,0,0,0,61834.7578125,-10.652186,-11.731757,-10.567248,-10.081503,-9.7746725,-9.5090685,-8.2218103,81171,11.304314,2.3328648,.405855,-1.1738517,-.60139793,-3.4771066,-3.5737135,70.729729,327.54041,47.414169,83.848618,51.58691,4.4654555,13.695416,6.6155238,4.2939572,5.233386,3.7564955,1,0,1,1,0,1.5957997,3.8334565,7.3845348,7.6335878,6.9892473,.97068679,0,3.8563008,4.4176292,,6.8071995,9.090909,10.094638,7.8947363,5.0359712,.27983189,-.56132835,4.932272,1.7119271
288,3,1.3862944,1,0,-.48911646,-.48911646,3.2032897,1.1641783,.059224769,-6.1373553,6.4965215,50,1,0,1141.5577,105.59318,30.411089,0,5452,8.6037378,1.3862944,1.1335503,1.3995396,1.1249295,1.3999926,0,0,0,0,0,0,0,0,0,0,0,35583.83984375,-10.736299,-11.736585,-10.574076,-10.088679,-9.7819967,-9.5158262,-8.194581,51187,10.843241,2.2395031,.25593501,-1.7264258,-1.4038068,-3.8468559,-3.9426124,185.57346,2151.2939,114.69598,172.15433,61.805923,9.7461395,17.426615,5.3136787,5.244957,5.7545271,3.8565276,1,1,1,0,1.0986123,3.356632,4.2442932,6.3558602,13.157895,7.4626865,.95957178,0,3.4599097,4.3963614,,4.7138977,3.125,2.95858,3.3112581,7.5471697,.3085967,-.93645167,7.1730971,0
289,4,1.6094379,1,2.7764723,1.5549713,-1.221501,3.3727944,1.2157416,.46944255,-5.8660707,6.6319594,50,1,0,1148.9977,104.88443,29.838793,0,4970,8.5111752,1.3862944,1.1280262,1.5636283,1.3326416,1.4727912,0,0,0,0,0,0,0,0,0,0,0,29584.44921875,-10.824145,-11.288352,-10.498907,-10.095928,-9.8262358,-9.5830345,-8.1834116,39465,10.58317,2.0719943,.19732501,-1.9110684,-1.8236527,-3.5268807,-3.1389773,249.70811,1485.3457,289.32434,525.52527,219.51395,7.4499512,14.604025,6.4848013,5.5409122,6.9003873,3.9050727,1,1,1,0,0,1.9877322,3.2690837,9.8614073,11.702127,13.513514,.96296078,0,3.3493679,4.4454303,,3.0135508,3.2323234,1.8181818,5,3.164557,.50982666,-1.0960627,0,2.920805
290,0,0,0,-.39706731,-.59081417,-.19374686,2.20032,.78860277,-1.4750797,-7.5571537,6.3794012,50,1,0,1141.6306,105.25356,30.104155,0,4153,8.3315859,1.3862944,1.0986123,1.3995982,1.1104467,1.4347694,0,0,0,0,0,0,0,0,0,0,0,25735.83203125,-10.981441,-11.73294,-10.568769,-10.083083,-9.7762775,-9.5100384,-8.1806812,29500,10.292146,1.9605592,.14749999,-2.0504332,-1.8289008,-4.1158409,-4.2141399,590.83447,2759.6384,150.02338,56.201443,17.289671,4.2405434,16.2467,6.0195026,6.3930969,4.9452333,3.8175094,0,0,1,1,0,2.93033,4.8673315,5.5925312,13.265306,6.6666665,.96436352,0,3.216269,4.4190798,,4.4108157,6.5162907,8.0213909,5.1886792,2.1052632,.22838755,-1.2028108,18.733814,3.2493403
291,2,1.0986123,1,1.4436356,-1.4498085,-2.8934441,4.7926941,1.5670928,.60745102,-5.6198487,6.5200586,50,1,0,1059.8962,105.72127,29.455509,0,4175,8.3368692,1.3773258,1.1731454,1.5730703,1.3312346,1.3972189,0,0,0,0,0,0,0,0,0,0,0,17878.32604980469,-10.893354,-11.198096,-10.307473,-9.8782921,-9.5963554,-9.3546209,-8.4350004,34463,10.447641,2.1107719,.172315,-2.4147282,-1.7022113,-4.5500073,-3.3118827,73.28083,567.17871,87.414833,107.62514,42.041065,7.0472193,8.3008986,9.9279661,4.374342,5.3718014,3.7258017,0,1,0,1,0,1.9706041,2.9636617,9.3317509,6.2068968,11.428572,.96721101,0,3.0420711,4.0748577,,5.2279143,3.6144576,4.2207794,2.930403,7.0175438,.48968631,-1.0327866,0,11.067864
292,0,0,0,-1.4436355,-.1523409,1.2912946,2.7290227,1.0039436,-.26836094,-5.750515,5.7581625,50,1,0,949.68298,105.63708,27.710052,1,44548,10.704323,1.4074011,1.0755963,1.2778003,1.3738452,1.4425424,0,1,0,0,1,0,-.14814815,0,0,-.14814815,-.14814815,21645.5078125,-12.844063,-11.539997,-10.948495,-10.607808,-10.369207,-10.151392,-9.1237345,35064,10.464931,-.2393923,.17532,-2.2235196,-1.5003369,-2.5649958,-1.0634695,11.876975,305.90024,71.497467,75.317299,30.871876,9.2983265,25.311514,14.821485,2.8800669,5.0724859,4.3146043,1,1,1,1,1.3862944,2.1900826,2.7051663,6.9065566,8.2164326,9.5015574,.96690971,0,5.1443443,4.6105008,,6.6002822,6.7949491,7.3324904,6.3073397,7.3694029,.38086709,.53384393,10.212516,2.8763084
293,9,2.3025851,1,0,-1.3075941,-1.3075941,4.1526632,1.4237499,.24403118,-5.9618154,6.5047407,50,1,0,1079.8285,106.18137,30.131531,0,5144,8.5455866,1.3581234,1.1214967,1.5344748,1.27241,1.3455527,0,1,0,0,0,0,0,0,0,0,0,68905.64233398438,-11.019692,-11.213517,-10.307159,-9.8741922,-9.5905266,-9.3471012,-8.4201622,36634,10.508732,1.9631457,.18317001,-1.0655793,-1.4213622,-4.2501507,-3.1340201,105.08965,783.49231,288.20255,151.36128,98.170227,5.6864552,8.9156599,11.467591,4.7013335,6.0520325,3.7972472,0,1,1,1,1.0986123,3.1478674,3.1994102,6.7251034,8.6206894,11.347518,.96338582,0,3.3086243,4.1257887,,6.2837968,6.2857141,7.4576273,4.7826085,3.521127,.47426394,-.8171646,0,6.6867452
294,0,0,0,0,.2177258,.2177258,3.4141498,1.2279285,.084183194,-5.8282051,6.2030983,50,1,0,1157.0009,104.44479,29.472252,0,3133,8.0497465,1.3350011,1.1233048,1.5151273,1.3015531,1.5195807,0,0,0,0,0,0,0,0,0,0,0,4449.45263671875,-11.240078,-11.583093,-10.565895,-10.108245,-9.8135252,-9.5626011,-8.5755568,16665,9.7210655,1.6713197,.083324999,-3.8055363,-2.4848866,-4.4800439,-4.1236057,272.65985,1968.0157,102.71505,74.284966,31.336782,0,9.07934,11.84281,5.6547451,5.1552062,3.8154395,0,0,1,1,0,2.516149,3.3046138,7.752357,12.698413,8.333333,.96864015,0,3.0975494,4.6267495,,3.1385083,4.6357617,3.8961039,5.4054055,3.030303,.21269368,-1.5292001,0,4.53967
295,2,1.0986123,1,.2762661,-1.16486,-1.4411261,2.9164941,1.0703822,-.59697187,-5.6805491,5.3584189,50,1,0,1085.2388,103.98789,27.597574,1,54024,10.897183,1.5759728,.3754842,1.1480051,1.5811946,1.6028616,0,0,0,0,0,0,0,0,0,0,0,24786.63650512695,-13.64065,-11.507517,-11.060738,-10.777396,-10.570148,-10.374963,-9.434967,17019,9.7420855,-1.1550981,.085095003,-2.0880127,-2.4984174,-3.0023243,-.76376307,33.668201,233.11133,12.887307,15.309957,7.0968704,1.4421152,3.5592117,6.4882183,3.8042359,3.5308499,3.0886974,0,1,1,1,1.0986123,2.1094642,2.8789771,6.1635137,8.9887638,4.9019608,.96854854,.1030445,5.1033702,4.5991354,,7.5244641,6.3803682,4.0865383,8.7719297,9.7841721,.01536515,.50423443,3.533067,6.5252213
296,1,.69314718,1,0,1.6104063,1.6104063,2.8964529,1.0634869,-.3868925,-6.381773,6.2979646,50,1,0,1065.051,107.08598,30.632559,0,6008,8.7008476,1.2937243,1.1616251,1.300391,1.2700346,1.2561468,0,0,0,0,0,0,0,0,0,0,0,7403.2451171875,-11.497136,-11.499807,-10.539754,-10.094411,-9.8051538,-9.5522795,-8.4117489,20804,9.9429007,1.2420534,.10402,-3.2963989,-1.805544,-3.4856789,-3.3215711,391.34024,557.04688,32.855122,75.475891,36.262653,12.068522,21.087011,9.7361994,5.995553,5.0169606,4.1472697,1,0,1,1,0,1.8389066,2.6431921,6.2652044,8.2840233,6.4000001,.96498311,0,3.5885053,4.4615793,,5.932682,5.5793991,3.7500002,7.5221243,3.8095241,.057904363,-.87307429,0,2.3430011
297,0,0,0,1.4436353,2.3109825,.86734712,6.7023807,1.9024628,.84711349,-5.4402304,6.595448,50,1,0,1232.9879,104.61802,30.722683,0,1139,7.0379062,1.3862944,1.0296195,1.3694873,1.0986123,1.491757,0,0,0,0,0,0,0,0,0,0,0,12998.9453125,-9.8421087,-10.956242,-9.8670835,-9.395093,-9.0941315,-8.8365955,-7.9999347,27325,10.215557,3.1776514,.13662501,-2.733449,-1.9096988,-4.9982953,-4.607336,270.83591,710.09784,50.316635,50.794582,10.561201,7.8164077,18.125183,2.6170006,5.629684,4.6209369,3.5904496,1,0,0,0,0,2.8291774,2.4918373,7.2568569,4.347826,0,.96035177,0,2.7706029,4.5884604,,2.6840668,2.0408163,3.7735848,0,8.333334,.14274526,-1.8178573,16.931528,0
298,1,.69314718,1,0,0,0,2.9221365,1.0723151,.46803156,-5.8546596,6.6283689,50,1,0,1084.8021,106.61176,30.528559,0,3552,8.1752663,1.3593386,1.0986123,1.4531573,1.3316358,1.3018847,0,0,0,0,0,0,0,0,0,0,0,8757.718505859375,-10.93971,-11.374291,-10.316167,-9.8502083,-9.551857,-9.2962656,-8.3505907,25272,10.137452,1.9621862,.12636,-3.128382,-1.4469577,-4.0061479,-3.8433659,0,0,122.54321,119.09932,42.707901,0,24.543348,4.7665319,2.1384706,5.473105,3.6859486,1,1,0,0,0,3.5271947,2.9127588,6.8061705,6.1728396,4.0816326,.96637744,0,3.255693,4.3954959,,3.6842971,4.304636,3.7974682,4.8611112,4.166667,.042136729,-1.1398031,0,0
299,1,.69314718,1,0,1.3075941,1.3075941,3.4736187,1.2451969,.61341637,-5.5595527,6.4794769,50,1,0,1153.8344,106.06305,30.942093,0,3736,8.225771,1.3231155,1.1254596,1.3913834,1.1254596,1.3532981,0,1,0,0,1,0,-.14814815,0,0,-.14814815,-.14814815,15653.09765625,-10.347974,-11.386765,-10.336962,-9.8726597,-9.5750284,-9.3196745,-8.3682709,52418,10.867005,2.6412346,.26209,-2.5476484,,-3.9580474,-3.7939177,267.36752,1269.1256,141.56436,478.96802,150.53334,23.127384,14.92954,6.9189219,5.6038918,6.6544857,3.9842756,0,1,0,0,0,3.4974852,2.8856633,11.899926,2.6315789,16.438356,.96523857,0,3.2995942,4.4125013,,10.486316,8.4639502,9.9337749,7.1428576,23.529411,.022899499,-1.1129073,8.258069,5.9718156
407,0,0,0,-1.8184465,-.25937244,1.559074,13.14497,2.5760391,2.1240695,-4.3594904,6.7920799,50,1,0,1289.6859,104.23994,31.12355,0,4939,8.5049181,1.1761705,1.0602515,1.2294519,1.0027642,1.5268376,0,1,0,0,0,0,0,0,0,0,0,61482.95849609375,-10.224226,-11.035769,-10.002608,-9.5416679,-9.2455063,-8.9933109,-8.2096291,78540,11.271363,2.7664452,.39269999,-1.1795573,,-3.5694628,-3.1415956,28.653688,122.77461,12.564188,53.656178,39.480526,0,13.037554,6.6988468,3.4422934,4.8298945,3.3787642,0,1,0,0,0,2.5963023,2.5678339,27.065159,21.55477,32.804234,.96877718,0,4.0298791,4.5350089,,5.3981519,4.9095607,4.7244096,5.0890584,4.8257375,.41141933,-.50512969,4.4713483,0
